,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,,,,,,
,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acoustic,afrobeat,alt-rock,alternative,ambient,anime,black-metal,bluegrass,blues,bossanova,brazil,breakbeat,british,cantopop,chicago-house,children,chill,classical,club,comedy,country,dance,dancehall,death-metal,deep-house,detroit-techno,disco,disney,drum-and-bass,dub,dubstep,edm,electro,electronic,emo,folk,forro,french,funk,garage,german,gospel,goth,grindcore,groove,grunge,guitar,happy,hard-rock,hardcore,hardstyle,heavy-metal,hip-hop,holidays,honky-tonk,house,idm,indian,indie,indie-pop,industrial,iranian,j-dance,j-idol,j-pop,j-rock,jazz,k-pop,kids,latin,latino,malay,mandopop,metal,metal-misc,metalcore,minimal-techno,movies,mpb,new-age,new-release,opera,pagode,party,philippines-opm,piano,pop,pop-film,post-dubstep,power-pop,progressive-house,psych-rock,punk,punk-rock,r-n-b,rainy-day,reggae,reggaeton,road-trip,rock,rock-n-roll,rockabilly,romance,sad,salsa,samba,sertanejo,show-tunes,singer-songwriter,ska,sleep,songwriter,soul,soundtracks,spanish,study,summer,swedish,synth-pop,tango,techno,trance,trip-hop,turkish,work-out,world-music,popularity,sentiment,anger,disgust,fear,joy,sadness,Taylor Swift,Various Artists,Kanye West,,,,,,
0,-0.07413132,0.06765318,0.03054962,0.07610232,0.023723943,-0.05070206,-0.04951824,0.052999914,-0.037157923,0.043448377,-0.08776746,0.045012705,-0.006944187,0.077383675,-0.054184325,-0.007690586,0.016319238,0.061692514,0.07753768,0.019486785,-0.05346366,-0.054199867,0.06280651,0.057580523,0.05195599,-0.02942358,0.020844772,0.080029346,0.000738293,-0.07914635,-0.06633612,-0.08068521,-0.07095032,0.062782936,-0.070792094,-0.063085824,-0.044914376,-0.002830043,0.025432736,0.05052469,0.060826965,-0.054881066,-0.067812234,0.02472961,0.073794864,-0.04419394,0.011879794,0.047661133,0.05820746,0.015953839,0.07910759,-0.057696007,0.074387364,-0.035470665,0.008256838,-0.06923735,0.078624494,0.07646965,-0.031038612,0.013812542,-0.07702568,0.010741256,-0.06458642,-0.008993477,0.023418516,0.022294968,0.018708043,-0.04092028,-0.045544744,0.029542208,0.079778336,-5.55E-05,-0.055632833,0.06037227,-0.051248297,-0.021837905,-0.047406256,-0.058997594,0.07427151,0.052467324,-0.05494684,-0.016817011,-0.05899,0.039882533,0.01755672,0.055866756,0.07922872,0.052090235,0.07256333,-0.037005983,0.07449827,-0.00722374,-0.039312087,0.081986226,0.003688686,-0.027303766,0.06794251,-0.002167918,-0.04465698,0.009408981,-0.038613196,-0.054280512,-0.030265525,-0.010330848,-0.07756521,-0.03885039,-0.028280444,0.03189742,-0.03433277,-0.047461543,-0.005065166,0.07533506,-0.015854277,-0.005683139,-0.07972857,0.05140116,-0.06423658,0.041956402,-0.03848776,-0.03682041,0.06769892,0.06424161,0.056500904,0.019888952,-0.047159813,-0.0710031,0.06262789,0.033625923,-0.051343836,-0.07947658,-0.02826013,0.046228565,0.08123047,0.008327581,0.052554153,0.014479518,-0.018748984,0.016228206,0.08715826,-0.053904213,-0.015320115,0.03326358,-0.046726983,0.029944122,-0.005791917,0.069890074,0.0811052,0.07177207,0.08715826,138,popularity,,0-11,9
1,-0.11903683,-0.057296794,-9.97E-05,0.036361508,0.06794788,-0.04045319,0.046019707,0.024005508,0.00060507,-0.08024427,0.0441511,-0.048480924,0.034858614,-0.034414742,-0.004235983,-0.000525869,-0.059476625,-0.021283235,0.060778625,-0.044433583,-0.009947874,0.017892227,-0.081587784,-0.023280427,0.051593594,0.014944367,-0.01577241,0.049883552,0.009496458,0.076709084,-0.004821204,0.048321895,-0.01144775,-0.06399846,0.014987178,-0.078753665,-0.0582141,-0.047832903,0.035079278,0.04181414,-0.057004184,0.052527957,-0.029276252,-0.051841564,-0.07599109,0.06303384,-0.08137405,-0.033303715,0.022732496,-0.050646394,-0.014879197,0.020019531,0.061792187,-0.035450518,0.059021346,0.018908165,0.06011405,0.007027783,0.027286045,-0.051278535,-0.0813855,0.056741633,0.05002261,-0.006372429,-0.06217548,-0.006980442,0.047269143,-0.034483332,-0.016456656,0.04129976,0.027395897,0.003897168,-0.02524149,0.002614357,0.08000209,0.03157801,0.039280288,-0.03514047,0.061423875,-0.010037534,0.08180288,-0.036197472,-0.060734976,-0.035726447,0.020901613,-0.033345148,0.004561164,0.029153481,0.045919098,-0.006948263,-0.03431237,-0.064718716,0.08192184,-0.028023094,-0.052532926,0.029338121,0.062270306,0.070929475,-0.008685578,0.013613008,0.07427084,-0.020920683,0.06400537,-0.035831578,-0.0323761,-0.017043129,-0.015943281,0.065168954,0.048367523,-0.048712898,0.073534034,-0.070581496,-0.079869114,-0.037253868,-0.069363624,-0.00447657,0.0537095,0.062575735,-0.017962351,-0.07123931,-0.003245384,0.056280605,-0.040232707,0.01357422,-0.07376273,0.056377076,-0.005355604,-0.028678212,0.0415347,0.073276006,0.062117286,-0.070468776,-0.02053734,-0.013071857,0.029891893,0.045395784,-0.043088853,0.060605265,0.018200079,-0.071799345,0.023259543,-0.07375299,0.07698061,0.057207234,-0.021674763,-0.03969116,0.09330894,0.023748437,0.09330894,146,Various Artists,,12-137,9
2,-0.011951598,0.11578924,-0.037066907,0.08494127,-0.01706577,-0.09121173,0.000112839,-0.11854289,-0.04482917,0.06035079,-0.012045748,0.06855008,-0.039263465,-0.069453456,-0.045447703,0.04816123,-0.081444405,0.037399724,-0.015230544,0.003461734,-0.00660979,0.07335351,-0.04580695,0.058394678,0.038170986,0.067966305,0.057560436,0.041735284,-0.065342106,-0.008436024,0.000740998,-0.056546006,-0.05885779,-0.06314646,0.001184516,-0.041307032,-0.011530429,-0.029819027,0.002644844,-0.07693678,-0.015569985,-0.044686954,0.026232868,-0.011331469,0.000673816,-0.030484542,0.06725102,0.011145242,-0.07651881,0.06732733,-0.048623934,0.004464485,0.03215877,0.0784168,0.064496376,-0.013055347,0.056127094,-0.06719783,-0.035180587,-0.000871286,0.07920384,0.068116,-0.030695278,-0.031962056,0.07417535,0.005311824,-0.005545013,-0.08098721,0.05414661,-0.0235737,-0.030752122,0.05729323,-0.07762897,-0.01301048,0.05189886,-0.06985039,-0.07016221,-0.00956703,0.05105526,-0.032671303,0.07219296,0.014427878,0.043168224,-0.05085335,-0.06032668,-0.04066156,-0.02486711,-0.04049711,-0.0625184,0.023782894,-0.000418678,-0.0489264,-0.033462048,0.04610873,-0.05448769,-0.06964303,-0.019590244,-0.0240576,0.035671562,-0.059354685,-0.04642498,0.052000187,0.042934008,0.05847042,-0.04561502,-0.05109299,0.038367562,0.001537748,0.05460175,-0.055138595,-0.025022455,0.011305787,-0.034080066,-0.03758693,0.01755073,0.045669623,-0.00618539,0.07743207,-0.035019375,-0.025556535,0.02784542,-0.042363387,-0.010847554,0.06034819,-0.0104618,0.065392934,-0.013127752,-0.024164192,0.009619944,-0.007772736,-0.017654099,-0.08153179,0.007873379,0.02397675,0.032088444,-0.047752954,-0.010175921,-0.023697656,-0.04438573,-0.013888396,0.02810935,-0.05989101,-0.022722699,-0.02638334,0.010383584,-0.05749025,-0.1319618,-0.010688292,0.11578924,1,energy,,138-144,4
3,-0.039062966,0.08048274,0.00619929,-0.03329835,0.003547577,0.024681611,-0.011338225,-0.06318462,0.07558764,-0.07539441,0.03052289,-0.05262456,0.050052576,0.07106317,-0.03990464,-0.02940419,-0.073319726,0.08035443,-0.061334554,0.02040971,-0.06876083,-0.08153938,0.002871618,0.08199646,0.008328952,-0.03176778,0.01369375,-0.051082086,0.049139597,0.008014202,-0.063651115,0.018025182,-0.071503006,-0.021487847,-0.05893346,-0.036921564,0.058486633,-0.029669523,0.007292226,0.04609727,-0.05697953,-0.07184029,-0.04408519,-0.016284786,-0.007280313,0.06813068,0.0639768,0.001923271,0.0640179,0.06350655,0.039158955,-0.026282676,0.06484742,0.044598155,0.00794106,0.0721265,-0.06793312,-0.04279319,-0.035160635,-0.04642711,0.004657418,-0.057005987,-0.005280122,-0.031194143,-0.06255853,0.07258079,0.023660704,0.07602129,0.05033437,-0.07411528,-0.06973272,-0.004727118,0.036140256,0.069289275,-0.075782575,-0.04605467,0.05891893,-0.06820317,0.07967507,0.075523056,-0.049158182,-0.06841484,0.037020378,0.010556944,-0.06803906,-0.02573073,-0.07128706,0.07762957,-0.05917798,0.06532586,-0.000447005,0.028332397,-0.06411899,0.025776528,0.058723904,0.012777813,0.049422123,0.020054996,-0.10234038,-0.03745402,0.020033129,0.03349416,0.025448248,0.00392668,0.018077374,-0.037754267,0.000180691,-0.07798642,-0.000706375,0.059672333,-0.003137209,0.057423912,-0.08171686,-0.034444597,0.079479,-0.040147476,0.07724134,-0.07253786,-0.056113742,-0.06669503,-0.07930588,-0.025450941,0.021698028,0.017552406,-0.05748926,0.022102162,0.05167473,-0.030189153,-0.01858443,-0.06224025,-0.018255398,0.003322452,-0.057624005,0.06799895,0.060106613,0.009974651,0.04405675,0.043677084,0.014055414,0.030906111,0.07240795,0.059827097,-0.0805254,0.071958385,-0.005196206,-0.09540982,-0.05849454,0.025454726,0.08199646,23,breakbeat,,145-147,9
4,0.08595865,-0.006093972,-0.012160961,0.04614256,0.01683844,0.03656519,0.070953354,-0.011154144,-0.022639448,-0.014568801,0.052516773,0.004384892,0.069950186,0.006079212,0.025576279,-0.04256995,0.025730528,-0.027079605,-0.010978147,-0.036416978,-0.049034674,0.04379139,-0.06274704,0.014886498,-0.07757021,0.07123942,0.045954175,0.031245776,-0.07453648,-0.036160342,-0.057724968,-0.05714089,0.00065393,0.037615977,0.01798147,-0.002253391,0.042026676,-0.053144075,-0.002110392,-0.043805882,0.031710222,0.07784506,0.03707081,-0.02452948,0.06020271,0.023174621,-0.050147757,-0.03824014,0.061283253,-0.062056273,0.02272746,0.062108852,-0.025111977,-0.027377866,-0.005613305,-0.010941528,0.012361184,0.070144065,-0.025505189,0.06539028,-0.04129255,-0.008536585,0.05575178,-0.019948266,-0.021714222,-0.018232048,0.045174606,0.062524326,-0.0800953,-0.06063597,0.081399985,-0.03269729,0.030327111,-0.04213472,0.07896639,0.06753958,-0.000541419,0.025739275,0.026404165,-0.053536624,0.001486234,0.06607699,0.012918271,-0.06729658,0.026619963,-0.040293254,0.011369363,-0.023262877,-0.035821978,0.02853249,-0.06788232,0.019669682,0.030023783,0.059133373,-0.06720589,0.030146398,0.06916878,-0.001989909,0.07983847,0.07166811,0.03808707,-0.04623592,-0.02940597,-0.027263336,0.046430178,0.043777637,-0.06915316,0.080439724,0.03817632,-0.06853719,0.001462966,-0.08050292,0.060655795,-0.003841706,-0.038218904,-0.05743325,-0.052518934,-0.0750334,0.020825386,-0.03164494,-0.07629566,0.064804055,0.062366895,-0.042094957,-0.020623717,-0.054122396,-0.07867836,-0.01866676,0.017780349,-0.03744072,-0.005975679,0.064479105,0.06138865,-0.058868032,0.065937184,0.014087126,-0.028275426,-0.019107506,0.030903561,0.000870466,0.044989012,0.08050168,-0.052131522,-0.009832501,-0.039851714,0.0994845,-0.005015356,-0.005333455,0.0994845,145,Taylor Swift,,,
5,0.039280742,0.08317782,-0.048439603,-0.000810603,-0.005875408,0.07624148,-0.103664175,0.052021183,0.07578168,-0.009141656,0.0314364,-0.046755336,0.05494023,0.06644217,0.0813693,0.000960864,0.04307101,0.0385305,0.030856237,0.007260151,-0.07009957,-0.04486972,0.07186561,-0.049111772,-0.009604856,0.026771434,0.015419528,-0.010242574,0.07046608,0.07627674,-0.07882058,0.07524029,-0.028905343,-0.04112241,-0.028749336,0.04572632,0.007385299,-0.05147718,0.07685498,-0.018426336,-0.021530453,-0.032967497,0.075602196,0.061089374,-0.07392347,0.06618165,-0.022785343,-0.07270317,0.032068066,-0.048044894,0.079922505,-0.07597145,-0.05111448,0.07348583,0.018535547,0.04772132,-0.024460476,0.061073653,-0.04371923,-0.052536856,-0.047933694,0.077948175,0.004352406,-0.002906099,-0.06772762,-0.046146438,-0.06911031,0.044999965,0.07640124,0.067476876,-0.024909325,0.013619788,0.000238329,0.00849878,-0.016707622,-0.016368635,-0.06581533,0.050020747,0.01664617,-0.053966902,-0.042004462,0.012598455,0.04567025,-0.002370611,-0.005981639,0.05594746,-0.023995966,0.074113555,0.003752194,0.02162999,-0.078818746,-0.029981308,0.07293544,0.06121435,0.06546017,0.028017089,-0.026934441,-0.07771948,-0.02195279,-0.07665521,-0.07137838,-0.04786097,-0.000205532,-0.008132935,-0.063319385,-0.02990517,-0.06474533,-0.06647474,-0.03811297,-0.028836094,-0.01514446,0.021138534,-0.029239204,-0.045190834,-0.022960678,-0.07255459,-0.07867689,-0.000634916,0.050048344,0.04953625,0.06297935,-0.024734296,0.03925076,0.07417009,0.03146804,0.0002997,0.05219216,0.044673614,-0.030962024,0.016370118,0.012036994,-0.010159545,0.049271725,-0.07401669,-0.040735286,0.06309164,-0.07748987,0.01715158,0.05445767,0.073246114,-0.019262716,-0.03909798,-0.048705626,-0.0434629,0.02558203,0.0462775,0.062056225,0.10576993,0.10576993,147,Kanye West,,,
6,-0.013033213,0.060106695,0.026877023,-0.06540945,-0.07055165,-0.042422086,0.047477584,0.054884642,0.01187564,-0.012143607,0.011537815,0.04386111,-0.003627002,0.023470297,0.003768437,0.041114494,0.037664853,0.06104956,0.062164508,0.03176801,-0.03128884,0.07840704,-0.011639692,-0.04756694,-0.052747484,-0.035437025,-0.024145205,-0.036123842,0.03081882,0.019300878,0.030472666,0.07868742,-0.061921723,0.06780044,-0.04045663,-0.071566485,-0.012365855,0.06710673,0.048839025,-0.030189652,-0.038725894,0.012612991,0.037759013,-0.040893428,-0.015100583,0.07550169,0.015740633,0.07411673,-0.009166934,0.032510012,-0.06768325,-0.013717599,-0.04070565,-0.07766301,0.033809163,0.035417296,0.05524642,-0.027790546,-0.026296932,-0.081347905,-0.024211913,0.027598284,0.061869107,-0.052208535,0.04789006,-0.03622291,-0.043515585,-0.013749458,0.004124641,-0.07957895,-0.03363047,-0.05828286,0.07432989,0.004433587,0.07336996,-0.07095212,-0.03531578,-0.03982357,-0.019123547,-0.030646645,-0.03649487,0.0773759,-0.07227299,-0.07037267,-0.016763337,0.046787687,0.013839759,0.06007675,0.006363481,-0.062456876,0.057999916,-0.022549454,0.0330941,0.007400237,0.029906236,0.041229926,0.025936157,0.013304964,-0.112629965,-0.015162356,0.042523853,0.003020071,-0.019909266,0.036167927,0.052965336,0.001546353,-0.031479165,0.015165634,-0.050845116,0.048425727,0.0668877,-0.018903024,0.019659482,-0.045252714,0.02048847,0.009707846,0.080437936,-0.041048203,-0.034609288,-0.025874157,-0.05150048,-0.06587345,-0.027606122,-0.003035843,0.026046462,0.024848357,-0.022873614,-0.045026887,-0.04737829,-0.048211593,-0.023177449,0.049084954,-0.002001829,0.009360313,-0.007843621,-0.060925595,0.01664909,-0.05358734,-0.0903407,0.045504816,0.0611201,-0.01828038,-0.080264494,0.038838796,-0.051939808,0.007413214,-0.10312781,0.03228769,0.080437936,116,salsa,,,
7,0.07983117,0.07010641,-0.049949143,-0.006835769,-0.027094746,0.019296646,-0.12313747,-0.01719835,0.06581105,0.07427915,-0.05946037,-0.017701415,0.06886213,0.007652007,-0.030894097,0.06277717,-0.030323151,0.016391836,-0.031863682,-0.06259296,0.035174035,0.01719606,-0.04494295,0.006375358,0.08038541,0.050919496,0.019662738,0.017578386,0.07950259,-0.068319075,0.005567178,0.066494875,0.045921274,0.06745287,-0.040193737,-0.00897795,-0.019537091,-0.04172484,-0.028491084,-0.026590236,0.074335776,0.001113266,-0.006008908,0.066781364,0.051645912,0.016007796,0.022364087,0.04333628,-0.001059406,0.06792664,0.06785519,0.06205762,0.010878049,0.03104838,0.04603798,0.02090349,0.04797349,-0.07134176,0.068159945,0.005267724,-0.04957891,-0.03227622,0.011488169,-0.004218593,-0.060600847,0.0745981,0.035726532,-0.0399845,0.07244996,-0.036897823,0.0481556,-0.06508019,-0.06343034,-0.050736487,0.002632782,0.04226105,0.05412317,0.08177591,-0.07541924,-0.009256609,-0.081835836,-0.030929785,0.009750754,0.06796769,-0.04937508,0.07243992,0.03248728,0.035156824,0.029984325,0.044347487,-0.013428472,-0.016382761,-0.03773614,-0.00205002,0.03116148,-0.024370492,0.04832483,-0.016219266,0.10633308,0.034945764,0.003629863,0.041642413,-0.009065211,-0.033065464,0.07362852,0.071179636,0.011533357,-0.04306656,0.07883491,0.048794396,-0.07648357,-0.029432017,0.044523112,0.07187349,-0.048493076,-0.07771182,-0.006378703,-0.072262146,0.050359063,-0.08089881,-0.046048112,0.013478741,0.072468214,-0.057935182,-0.06511025,-0.043602142,0.05968734,0.079743184,0.024139665,0.06937241,-0.006079242,0.07984059,-0.004240878,0.06900983,0.06473925,0.04208684,-0.01838059,-0.061104346,0.06340708,-0.07063859,0.059918217,0.04570479,0.06530709,0.029639281,0.06743131,-0.030953795,-0.055079654,0.003186084,0.10633308,98,pop,,,
8,-0.040441446,0.054945134,0.033459734,0.024525214,-0.025003163,0.04899675,0.05238198,0.085796475,0.045075115,0.015034617,-0.077667385,0.004930913,0.027132176,-0.039357074,-0.042510744,0.054939277,0.04210577,-0.07653694,-0.05163464,-0.034559462,0.03882823,-0.016938567,0.030903071,-0.026772074,0.017740339,-0.058381096,-0.05142933,-0.04013444,0.071289815,0.006884411,0.001037151,-0.021685295,0.012288734,-0.079386234,0.0764868,0.02005893,0.03600297,-0.061894093,-0.024210189,-0.009277552,-0.039270833,0.06290246,0.078528814,0.03766402,0.08187718,0.022051543,0.001830265,0.039953582,-0.0251913,0.003788136,-0.015769273,-0.002129346,-0.003394991,0.082016,-0.035841387,0.06889217,0.011857554,0.02384407,0.057455234,0.043608345,0.072885506,-0.06963679,0.04168784,0.06635185,0.055732243,-0.052107356,0.08164231,0.009827495,-0.048336744,-0.06600727,0.065691434,0.045251153,-0.07911641,0.03512992,-0.04722155,-0.065573074,0.07641729,0.06476148,0.040058866,-0.002141953,0.050187625,-0.040709462,0.007130958,0.070182525,0.039473936,0.018113427,0.08086481,-0.013435677,0.04036992,0.028372064,-0.05317059,0.009620503,0.07592691,-0.023370255,0.03716024,0.006020501,0.07199285,-0.02201553,0.0957589,-0.0625466,0.011915945,0.014072955,-0.06311308,0.0791009,-0.03510099,-0.052121,0.06150917,-0.012227207,0.003072329,0.033503205,0.07318782,-0.063290216,0.03659974,-0.06125185,-0.038661886,-0.017024644,-0.063913636,-0.082040325,0.026369266,0.06341449,-0.07469456,0.042593963,0.04037182,-0.0747818,-0.0663225,-0.05959862,-0.050793763,0.06574232,0.051516272,0.07038457,0.035676345,0.05092203,-0.009188466,0.040933967,0.08066518,0.049033277,0.021368116,0.002958372,0.040917512,0.051108323,-0.043319903,-0.05956275,0.018269278,-0.020536724,0.059143357,0.094428465,-0.03776296,0.06450688,0.0957589,98,pop,,,
